DEWP,TEMP,PRES,cbwd,Iws,Is,Ir,pm2.5
-21,-11,1021,NW,1.79,0,0,NA
-21,-12,1020,NW,4.92,0,0,NA
-21,-11,1019,NW,6.71,0,0,NA
-21,-14,1019,NW,9.84,0,0,NA
-20,-12,1018,NW,12.97,0,0,NA
-19,-10,1017,NW,16.1,0,0,NA
-19,-9,1017,NW,19.23,0,0,NA
-19,-9,1017,NW,21.02,0,0,NA
-19,-9,1017,NW,24.15,0,0,NA
-20,-8,1017,NW,27.28,0,0,NA
-19,-7,1017,NW,31.3,0,0,NA
-18,-5,1017,NW,34.43,0,0,NA
-19,-5,1015,NW,37.56,0,0,NA
-18,-3,1015,NW,40.69,0,0,NA
-18,-2,1014,NW,43.82,0,0,NA
-18,-1,1014,cv,0.89,0,0,NA
-19,-2,1015,NW,1.79,0,0,NA
-18,-3,1015,NW,2.68,0,0,NA
-18,-5,1016,NE,1.79,0,0,NA
-17,-4,1017,NW,1.79,0,0,NA
-17,-5,1017,cv,0.89,0,0,NA
-17,-5,1018,NW,1.79,0,0,NA
-17,-5,1018,NW,2.68,0,0,NA
-17,-5,1020,cv,0.89,0,0,NA
-16,-4,1020,SE,1.79,0,0,129
-15,-4,1020,SE,2.68,0,0,148
-11,-5,1021,SE,3.57,0,0,159
-7,-5,1022,SE,5.36,1,0,181
-7,-5,1022,SE,6.25,2,0,138
-7,-6,1022,SE,7.14,3,0,109
-7,-6,1023,SE,8.93,4,0,105
-7,-5,1024,SE,10.72,0,0,124
-8,-6,1024,SE,12.51,0,0,120
-7,-5,1025,SE,14.3,0,0,132
-7,-5,1026,SE,17.43,1,0,140
-8,-5,1026,SE,20.56,0,0,152
-8,-5,1026,SE,23.69,0,0,148
-8,-5,1025,SE,27.71,0,0,164
-9,-5,1025,SE,31.73,0,0,158
-9,-5,1025,SE,35.75,0,0,154
-9,-5,1026,SE,37.54,0,0,159
-8,-5,1027,SE,39.33,0,0,164
-8,-5,1027,SE,42.46,0,0,170
-8,-5,1028,SE,44.25,0,0,149
-7,-5,1028,SE,46.04,0,0,154
-7,-5,1027,SE,49.17,1,0,164
-8,-6,1028,SE,52.3,2,0,156
-8,-6,1027,SE,55.43,3,0,126
-7,-6,1027,SE,58.56,4,0,90
-8,-6,1026,SE,61.69,5,0,63
-8,-7,1026,SE,65.71,6,0,65
-8,-7,1025,SE,68.84,7,0,55
-8,-7,1024,SE,72.86,8,0,65
-9,-8,1024,SE,76.88,9,0,83
-10,-8,1024,SE,80.9,10,0,91
-10,-9,1024,SE,84.92,11,0,86
-10,-9,1024,SE,89.84,12,0,82
-11,-9,1023,SE,93.86,13,0,86
-11,-9,1023,SE,97.88,15,0,78
-11,-9,1022,SE,102.8,16,0,98
-11,-9,1021,SE,105.93,17,0,107
-11,-9,1020,SE,111.74,19,0,90
-11,-9,1020,SE,116.66,20,0,96
-11,-9,1020,SE,121.58,21,0,95
-11,-9,1020,SE,124.71,22,0,86
-11,-9,1020,SE,127.84,23,0,70
-11,-9,1021,cv,0.89,24,0,61
-11,-9,1022,cv,1.78,25,0,53
-10,-9,1022,NW,4.02,26,0,71
-11,-10,1023,NW,7.15,27,0,72
-11,-9,1023,NW,11.17,0,0,76
-12,-11,1023,NW,14.3,0,0,73
-14,-12,1023,NW,16.09,0,0,79
-16,-9,1023,NW,21.9,0,0,58
-17,-10,1024,NW,29.95,0,0,25
-18,-11,1024,NW,39.78,0,0,26
-19,-11,1025,NW,48.72,0,0,28
-20,-12,1026,NW,55.87,0,0,26
-21,-12,1027,NW,64.81,0,0,20
-21,-13,1027,NW,73.75,0,0,29
-22,-13,1028,NW,80.9,0,0,26
-22,-13,1029,NW,90.73,0,0,27
-22,-12,1030,NW,100.56,0,0,27
-23,-12,1031,NW,108.61,0,0,25
-21,-11,1030,NW,117.55,0,0,29
-20,-10,1030,NW,127.38,0,0,32
-21,-10,1030,NW,136.32,0,0,28
-21,-9,1030,NW,145.26,0,0,29
-21,-9,1031,NW,152.41,0,0,30
-20,-11,1032,NW,159.56,0,0,30
-23,-11,1032,NW,165.37,0,0,28
-21,-12,1033,NW,171.18,0,0,26
-24,-12,1034,NW,180.12,0,0,31
-24,-13,1034,NW,187.27,0,0,33
-24,-13,1035,NW,195.32,0,0,29
-26,-15,1035,NW,198.45,0,0,31
-26,-17,1035,NW,201.58,0,0,30
-26,-18,1035,NW,205.6,0,0,34
-26,-19,1035,NW,208.73,0,0,27
-27,-18,1035,NW,213.65,0,0,25
